doc	x	y	w	h	pageid	img_node	img_w	img_h	src_node
1624:2	-4033.0	-7562.0	1922.0	2729.0	AD_PRODUCT_DELETE	1624:61	1250	837.703125	942:2
1627:2	-4033.0	9448.0	1922.0	3059.0	AD_SETTLE_DIFF_CARD	1627:61	1250	837.703125	993:2
1628:2	4207.0	1622.0	1922.0	3147.0	AD_SETTLE_DETAIL_BATCH	1628:61	1250	837.703125	981:2
1629:2	-1973.0	9448.0	1922.0	2781.0	AD_SETTLE_DIFF_DELIVERY	1629:61	1250	837.703125	996:2
1630:2	2147.0	9448.0	1922.0	2918.0	AD_SETTLE_DIFF_ESTIMATED	1630:61	1250	837.703125	1001:2
1634:2	-4033.0	18468.0	1922.0	2591.0	AD_SETTLE_RECORD	1634:61	1250	837.703125	1060:2
1635:2	-1973.0	23170.0	1922.0	2565.0	AD_PARTNER_PAYHUG	1635:61	1250	837.703125	916:2
1637:2	4207.0	23170.0	1922.0	2589.0	AD_PARTNER_SALES	1637:61	1250	837.703125	932:2
1638:2	6267.0	23170.0	1922.0	2527.0	AD_PARTNER_SALESORG	1638:61	1250	837.703125	937:2
1639:2	-4033.0	26079.0	1922.0	2637.0	AD_PARTNER_ADMIN	1639:61	1250	837.703125	941:2
1640:2	-1973.0	26079.0	1922.0	2730.0	AD_PARTNER_ADD	1640:61	1250	837.703125	945:2
1642:2	4207.0	26079.0	1922.0	2474.0	AD_PARTNER_DEACT	1642:61	1250	837.703125	959:2
1643:2	6267.0	26079.0	1922.0	2799.0	AD_PARTNER_DELETE	1643:61	1250	837.703125	962:2
1644:2	-4033.0	29680.0	1922.0	2683.0	AD_PARTNER_INVESTOR	1644:61	1250	837.703125	1030:2
1645:2	-1973.0	33603.0	1922.0	2661.0	AD_TERMS_REVISE	1645:61	1250	837.703125	920:2
1646:2	2147.0	33603.0	1922.0	2383.0	AD_TERMS_PREVIEW	1646:61	1250	837.703125	931:2
1647:2	6267.0	33603.0	1922.0	2433.0	AD_TERMS_VER_DEL	1647:61	1250	837.703125	940:2
1648:2	4207.0	33603.0	1922.0	2892.0	AD_TERMS_VER_EDIT	1648:61	1250	837.703125	935:2
1649:2	-4033.0	33603.0	1922.0	4743.0	AD_TERMS	1649:61	1250	837.703125	965:2
1650:2	2147.0	38666.0	1922.0	2822.0	AD_TERMS_CTX	1650:61	1250	837.703125	982:2
1652:2	-4033.0	45777.0	1922.0	5236.0	AD_BALANCE	1652:61	1250	837.703125	944:2
1653:2	-1973.0	42108.0	1922.0	2429.0	AD_TERMS_TYPE_EDIT	1653:61	1250	837.703125	994:2
1651:2	-4033.0	42108.0	1922.0	2383.0	AD_TERMS_TYPE_ADD	1651:61	1250	837.703125	991:2
1655:2	-4033.0	52253.0	1922.0	4038.0	AD_INQUIRY	1655:61	1250	837.703125	951:2
1654:2	-1973.0	45777.0	1922.0	3264.0	AD_BALANCE_DEPOSIT	1654:61	1250	837.703125	1058:2
1656:2	2147.0	52253.0	1922.0	2753.0	AD_INQUIRY_ANSWERED	1656:61	1250	837.703125	964:2
1657:2	4207.0	52253.0	1922.0	2405.0	AD_INQUIRY_CLOSED	1657:61	1250	837.703125	968:2
1658:2	-1973.0	56611.0	1922.0	2706.0	AD_INQUIRY_SETTLEMENT	1658:61	1250	837.703125	983:2
1659:2	2147.0	56611.0	1922.0	2340.0	AD_INQUIRY_ACCOUNT	1659:61	1250	837.703125	990:2
1660:2	-4033.0	66994.0	1922.0	4508.0	AD_LOG	1660:61	1250	837.703125	921:2
1662:2	-1973.0	71822.0	1922.0	2133.0	AD_AI_CUSTOM	1662:61	1250	837.703125	933:2
1661:2	87.0	71822.0	1922.0	3148.0	AD_AI_ANSWER	1661:61	1250	837.703125	936:2
1663:2	-1973.0	-20081.0	1922.0	3236.0	AD_MERCHANT_DT_SCRAPE	1663:61	1250	837.703125	1031:2
1664:2	-4033.0	-40466.0	1922.0	4941.0	AD_MERCHANT	1664:61	1250	837.703125	958:2
1666:2	-4033.0	-31988.0	1922.0	8215.0	AD_MERCHANT_DT	1666:61	1250	3434	1033:2
1665:2	-4033.0	1622.0	1922.0	7506.0	AD_SETTLE	1665:61	1250	2408.84375	995:2
1667:2	87.0	13129.0	1922.0	5019.0	AD_SETTLE_BILL	1667:61	1250	837.703125	1013:2
1669:2	-1973.0	18468.0	1922.0	3462.0	AD_SETTLE_VOC	1669:61	1250	837.703125	1062:2
1668:2	4207.0	13129.0	1922.0	4524.0	AD_SETTLE_PREVIEW	1668:61	1250	837.703125	1038:2
1670:2	-4033.0	60751.0	1922.0	5923.0	AD_SCRAPING	1670:61	1250	837.703125	918:2
1672:2	4207.0	-50577.0	1922.0	3057.0	AD_SALES_DT_CARD	1672:61	1250	837.703125	971:2
1671:2	-1973.0	1622.0	1922.0	5755.0	AD_SETTLE_MISSED	1671:61	1250	2408.84375	917:2
1673:2	2147.0	-44975.0	1922.0	2943.0	AD_SALES_DT_ADD_PURCHASE	1673:61	1250	837.703125	1005:2
1674:2	-4033.0	-44975.0	1922.0	1513.0	AD_SALES_DT_OLD	1674:61	1250	837.703125	986:2
1675:2	4207.0	-44975.0	1922.0	2962.0	AD_SALES_DT_ADD_DELIVERY	1675:61	1250	837.703125	1007:2
1676:2	6267.0	-44975.0	1922.0	3269.0	AD_SALES_DT_EXCEL	1676:61	1250	837.703125	1035:2
1677:2	-1973.0	-40466.0	1922.0	2521.0	AD_MERCHANT_PENDING	1677:61	1250	837.703125	961:2
1678:2	87.0	-40466.0	1922.0	2869.0	AD_MERCHANT_APPROVED	1678:61	1250	837.703125	963:2
1679:2	6267.0	-31988.0	1922.0	2964.0	AD_MERCHANT_DT_OLDCONTRACT	1679:61	1250	837.703125	1020:2
1680:2	4207.0	-40466.0	1922.0	2805.0	AD_MERCHANT_NONE	1680:61	1250	837.703125	970:2
1681:2	-1973.0	-31988.0	1922.0	3142.0	AD_MERCHANT_DT_HARDRESET	1681:61	1250	837.703125	999:2
1682:2	6267.0	-23453.0	1922.0	2476.0	AD_MERCHANT_DT_ADJUST_DONE	1682:61	1250	837.703125	1027:2
1683:2	2147.0	-23453.0	1922.0	2918.0	AD_MERCHANT_DT_ADJSTAT	1683:61	1250	837.703125	1025:2
1684:2	-4033.0	-20081.0	1922.0	2663.0	AD_MERCHANT_DT_ADJUST_PENDING	1684:61	1250	837.703125	1028:2
1685:2	-4033.0	-16525.0	1922.0	2550.0	AD_MERCHANT_DT_BANKACCT	1685:61	1250	837.703125	1095:2
1686:2	6267.0	-20081.0	1922.0	2898.0	AD_MERCHANT_DT_LOCKACCT	1686:61	1250	837.703125	1094:2
1687:2	87.0	-20081.0	1922.0	2753.0	AD_MERCHANT_DT_RESET	1687:61	1250	837.703125	1032:2
1688:2	87.0	-12298.0	1922.0	3042.0	AD_PRODUCT_DAOU	1688:61	1250	837.703125	924:2
1689:2	4207.0	-12298.0	1922.0	3356.0	AD_PRODUCT_EDIT	1689:61	1250	837.703125	934:2
1690:2	87.0	1622.0	1922.0	3397.0	AD_SETTLE_DIFFLIST	1690:61	1250	837.703125	953:2
1691:2	6267.0	9448.0	1922.0	3310.0	AD_SETTLE_DIFF_CARDFILTER	1691:61	1250	837.703125	1006:2
1692:2	4207.0	9448.0	1922.0	2663.0	AD_SETTLE_DIFF_CARRY	1692:61	1250	837.703125	1003:2
1693:2	87.0	9448.0	1922.0	3361.0	AD_SETTLE_DIFF_CLAWBACK	1693:61	1250	837.703125	998:2
1694:2	6267.0	13129.0	1922.0	3426.0	AD_SETTLE_DIRECT	1694:61	1250	837.703125	1059:2
1695:2	2147.0	13129.0	1922.0	2887.0	AD_SETTLE_EXPAND	1695:61	1250	837.703125	1036:2
1696:2	-1973.0	13129.0	1922.0	3585.0	AD_SETTLE_TRANSFER_COLLECT	1696:61	1250	837.703125	1012:2
1697:2	87.0	26079.0	1922.0	2799.0	AD_PARTNER_EDIT	1697:61	1250	837.703125	950:2
1698:2	87.0	23170.0	1922.0	2313.0	AD_PARTNER_PARTNER	1698:61	1250	837.703125	922:2
1699:2	2147.0	23170.0	1922.0	2567.0	AD_PARTNER_AFFILIATE	1699:61	1250	837.703125	927:2
1700:2	2147.0	26079.0	1922.0	3281.0	AD_PARTNER_PROFILE	1700:61	1250	837.703125	955:2
1701:2	87.0	33603.0	1922.0	2867.0	AD_TERMS_REVISE_FIXED	1701:61	1250	837.703125	925:2
1702:2	-4033.0	23170.0	1922.0	2047.0	AD_PARTNER	1702:61	1250	837.703125	1029:2
